F07063+2043,07:09:18.10,+20:38:09,5273,12
F07251-0248,07:27:37.50,-02:54:54,26247,26
F07256+3355,07:28:53.40,+33:49:08,4134,20
F07329+1149,07:35:43.40,+11:42:33,4872,12
F08339+6517,08:38:23.20,+65:07:15,5729,12
F08354+2555,08:38:24.10,+25:45:16,5546,12
F08424-3130,08:44:27.64,-31:41:49.7,4845,12
F08572+3915,09:00:25.40,+39:03:54,17493,40
F09111-1007,09:13:38.80,-10:19:20,16231,24
F09126+4432,09:15:55.10,+44:19:54,11782,24
F09320+6134,09:35:51.70,+61:21:11,11800,48
F09333+4841,09:36:37.20,+48:28:27,7777,22
F09437+0317,09:46:20.60,+03:03:29,6134,12
F10015-0614,10:04:02.10,-06:28:29,5052,12
F10038-3338,10:06:04.80,-33:53:15,10223,20
F10173+0828,10:20:00.20,+08:13:33,14714,24
F10196+2149,10:22:20.00,+21:34:10,4107,12
F10565+2448,10:59:18.10,+24:32:34,12921,24
F11011+4107,11:03:53.20,+40:50:57,10349,24
F11186-0242,11:21:12.30,-02:59:03,7462,24
F11231+1456,11:25:45.00,+14:40:35,10241,24
F11257+5850,11:28:32.20,+58:33:43,3121,12
F12043-3140,12:06:51.90,-31:56:54,6955,48
F12112+0305,12:13:46.00,+02:48:38,21978,24
F12116+5448,12:14:09.50,+54:31:36,2500,12
F12224-0624,12:25:03.90,-06:40:52,7900,48
F12243-0036,12:26:54.60,-00:52:39,2176,12
F12540+5708,12:56:14.20,+56:52:25,12642,40
F12590+2934,13:01:24.90,+29:18:39,7069,28
F12592+0436,13:01:50.80,+04:19:59,11236,24
F12596-1529,13:02:19.70,-15:46:03,4773,12
F13001-2339,13:02:52.30,-23:55:17,6505,24
F13097-1531,13:12:26.40,-15:47:52,2974,12
F13126+2453,13:15:03.50,+24:37:07,3346,20
F13136+6223,13:15:35.10,+62:07:28,9312,20
F13182+3424,13:20:35.30,+34:08:22,6982,24
F13188+0036,13:21:23.10,+00:20:32,5576,12
F13197-1627,13:22:24.50,-16:43:42,4959,24
F13229-2934,13:25:44.06,-29:50:01.2,4104,12
F13301-2356,13:32:53.40,-24:12:25,4887,12
F13362+4831,13:38:17.50,+48:16:36,8352,24
F13373+0105,13:39:55.20,+00:50:12,6745,12
F13428+5608,13:44:42.10,+55:53:12,11326,22
F13470+3530,13:49:13.90,+35:15:26,5031,12
F13497+0220,13:52:16.20,+02:06:15,9905,24
F13564+3741,13:58:35.80,+37:26:20,3469,12
F14179+4927,14:19:43.20,+49:14:11,7714,82
F14280+3126,14:30:10.40,+31:12:55,3562,12
F14348-1447,14:37:38.40,-15:00:22,24802,48
F14423-2039,14:45:09.00,-20:52:13,4119,12
F14547+2449,14:57:00.70,+24:37:02,10091,18
F15107+0724,15:13:13.10,+07:13:31,3894,24
F15163+4255,15:18:06.30,+42:44:36,12049,56
F15250+3608,15:26:59.40,+35:58:37,16534,40
F15276+1309,15:30:00.80,+12:59:21,4002,12
F15327+2340,15:34:57.10,+23:30:11,5432,24
F15437+0234,15:46:16.40,+02:24:55,3837,24
F16030+2040,16:05:12.90,+20:32:31,4737,12
F16104+5235,16:11:40.70,+52:27:24,8784,24
F16164-0746,16:19:11.80,-07:54:02,8139,22
F16284+0411,16:30:56.50,+04:04:58,7342,20
F16399-0937,16:42:40.20,-09:43:14,8097,17
F16443-2915,16:47:31.06,-29:21:21.6,6260,12
F16504+0228,16:52:58.90,+02:24:03,7339,16
F16516-0948,16:54:24.00,-09:53:20,6754,22
F16577+5900,16:58:31.40,+58:56:10,5498,24
F17132+5313,17:14:20.00,+53:10:29,15268,42
F17138-1017,17:16:35.80,-10:20:39,5195,12
F17207-0014,17:23:22.00,-00:17:00,12834,36
F17530+3447,17:54:51.80,+34:46:34,4881,24
F17548+2401,17:56:56.60,+24:01:01,5942,24
F17578-0400,18:00:31.90,-04:00:53,4209,12
F18090+0130,18:11:33.40,+01:31:42,8661,34
F18131+6820,18:12:55.30,+68:21:48,6191,24
F18145+2205,18:16:40.70,+22:06:46,5597,24
F18293-3413,18:32:41.13,-34:11:27.5,5447,12
F18329+5950,18:33:35.20,+59:53:21,8649,24
F18425+6036,18:43:12.50,+60:39:11,3963,36
F19115-2124,19:14:30.90,-21:19:06,14606,40
F19120+7320,19:10:59.10,+73:25:05,7498,12
F19297-0406,19:32:21.30,-03:59:56,25701,48
F19542+1110,19:56:35.40,+11:19:02,19472,36
F20221-2458,20:25:06.60,-24:48:33,3190,12
F20264+2533,20:28:35.10,+25:43:59,4167,10
F20304-0211,20:33:06.10,-02:01:38,5879,12
F20351+2521,20:37:17.70,+25:31:37,10100,19
F20550+1655,20:57:23.90,+17:07:39,10820,20
F21101+5810,21:11:30.40,+58:23:03,11704,40
F21453-3511,21:48:19.50,-34:57:04.7,4842,24
F22118-2742,22:14:39.92,-27:27:50.3,5216,12
F22287-1917,22:31:25.50,-19:02:04,7507,20
F22389+3359,22:41:12.30,+34:14:57,6413,24
F22491-1808,22:51:49.30,-17:52:23,23312,48
F23007+0836,23:03:15.60,+08:52:26,4890,20
F23024+1916,23:04:56.50,+19:33:07,7522,40
F23135+2517,23:16:00.70,+25:33:24,8220,24
F23157-0441,23:18:22.20,-04:25:00,7327,20
F23157+0618,23:18:16.30,+06:35:08,4956,12
F23254+0830,23:27:56.70,+08:46:44,8670,20
F23262+0314,23:28:46.70,+03:30:41,5135,12
F23365+3604,23:39:01.30,+36:21:08,19331,40
F23394-0353,23:42:00.90,-03:36:54,6964,12
F23436+5257,23:46:05.60,+53:14:00,10232,27
F23444+2911,23:47:01.60,+29:28:17,4845,12
F23488+1949,23:51:24.90,+20:06:42,4275,10
F23488+2018,23:51:26.80,+20:35:09,5540,12
