#Cleaned up table to remove duplicates
#On-Source integration time needs to be validated (may have changed between early measurements and 2021 measurements)
#Used last saved measurement in v2 from DATAv2  -- measurements matched ascii spectrum (last saved)
#need to check /data/scratch/dfrayer/GOALS/AGBT10B14/FINAL/Summary_LOG_reduction to verify consistency
#See APJ area for production of this file
#
#Table (c,a names used in program reading and computing 
#(c0) src name
#(a1) Dlum Mpc
#(a2) log10(Lir)
#(a3) Observed F-name
#(c1) Fit mode (0 nondect, 1 gmeasure, 2 gaussian, 3 gaussian ABS, 4 non-gauss ABS, 5 Emission+Abs lower limit)
#(c2) Observed Optical Velocity
#(c3) On-Source Integration time in min (effective with Dual Polarization)
#(c4) Line Jy km/s from stats
#(c5) Peak in mJy
#(c6) ch1
#(c7) ch2
#(c8) Continuum Level Jy
#(c9) RMS in mJy for 7 raw channels (21.36kHz)
#(c10) Line Jy km/s for 50%
#(c11) error on Line
#(c12) Line width 50%
#(c13) error on line width
#(c14) center velocity
#(c15) error on center velocity
#(c16) Line Jy km/s for 20%
#(c17) error on Line
#(c18) Line width 20%
#(c19) error on line width
#(c20) center velocity
#(c21) error on center velocity
#
F05053-0805 63.4 11.04	 F05053-0805 1  4440.0   22.93  1.95  36.82 238 334  0.063  1.96  9.04 0.19  356.5   4.2  4459.3   2.1  9.02 0.18  383.6   4.2  4463.1   2.1
F05054+1718 77.9 11.22	 F05054+1718 0  5453.0   53.51  0.00   0.00   0   0  0.297  1.85  0.00 0.00    0.0   0.0     0.0   0.0  0.00 0.00    0.0   0.0     0.0   0.0
F05081+7936 240.0 11.99	 F05081+7936 2 16090.0   81.09  0.84   4.21 224 327  0.074  1.04  0.81 0.11  325.8  32.4 16216.9 171.9  0.83 0.13  606.0 186.8 16228.7  93.4
05083+2441 99.2 11.26	 F05083+2441 1  6913.0   22.93  4.57  22.36 245 335 -0.057  1.95  4.57 0.17  277.6  33.4  6925.7  16.7  4.54 0.18  386.8  33.4  6905.6  16.7
05129+5128 120.0 11.42	 F05129+5128 1  8223.0   42.86  3.03  13.09 226 323  0.194  1.53  2.99 0.14  328.6  22.5  8309.2  11.3  2.99 0.14  395.4  22.5  8320.0  11.3
F05187-1017 122.0 11.30	 F05187-1017 2  8472.0   45.87  0.25   5.82 281 324  0.107  1.60  0.24 0.06   78.9  15.9  8404.9  39.9  0.26 0.10  154.1 121.3  8393.5  60.6
F05189-2524 187.0 12.16	 F05189-2524 0 12759.0   84.08  0.00   0.00   0   0 -0.012  1.26  0.00 0.00    0.0   0.0     0.0   0.0  0.00 0.00    0.0   0.0     0.0   0.0
05223+1908 128.0 11.65	 F05223+1908 1  8865.0   45.86  0.87  12.07 277 313  0.041  1.35  0.86 0.07   95.2   8.8  8861.1   4.4  0.86 0.07  122.7   8.9  8857.7   4.5
F05365+6921 59.0 11.06	 F05365+6921 1  3933.0   22.94 66.90 174.32 192 382  0.273  2.51 66.69 0.33  671.1   2.4  3929.4   1.2 66.36 0.31  711.9   2.4  3932.6   1.2
05368+4940 83.7 11.46	 F05368+4940 1  5741.0   27.88  3.09  39.77 269 305 -0.102  2.25  3.08 0.12  106.2   4.4  5767.1   2.2  3.10 0.12  132.2   4.4  5765.2   2.2
F05414+5840 65.8 11.28	 F05414+5840 1  4455.0   22.94  6.49  21.32 222 348  0.160  2.09  6.42 0.23  461.8  10.8  4465.7   5.4  6.44 0.22  500.2  10.8  4472.5   5.4
05442+1732 80.5 11.30	 F05442+1732 2  5582.0   22.93  6.31  50.40 254 326  0.058  1.81  5.98 0.22  121.1   3.4  5581.6   6.0  6.21 0.12  192.7   6.6  5587.8   3.3
F06052+8027 59.7 11.10	 F06052+8027 1  3918.0   22.94 19.57  67.07 226 377  0.166  1.96 19.49 0.23  529.1   6.0  3914.3   3.0 19.49 0.22  588.9   6.1  3898.5   3.0
F06076-2139 165.0 11.65	 F06076-2139 0 11224.0   91.73  0.00   0.00   0   0  0.051  1.25  0.00 0.00    0.0   0.0     0.0   0.0  0.00 0.00    0.0   0.0     0.0   0.0
F06107+7822 17.5 11.12	 F06107+7822 1   890.0   22.94 56.39 203.28 223 358  1.201  2.67 56.32 0.29  464.5   2.5   914.2   1.2 56.34 0.28  510.3   2.5   906.2   1.3
F06295-1735 93.6 11.25	 F06295-1735 2  6383.0   22.93  8.24  35.09 241 366  0.062  2.15  7.18 0.18  200.1   3.9  6373.3   7.4  8.21 0.22  448.8  20.3  6312.6  10.2
F06538+4628 94.3 11.34	 F06538+4628 2  6401.0   24.85  4.93  37.92 217 321 -0.191  2.22  3.98 0.30  122.5   7.0  6526.1  15.3  4.81 0.17  269.3  31.0  6463.0  15.5
07063+2043 78.0 11.31	 F07063+2043 2  5273.0   22.94 15.77  70.00 230 360  0.232  2.40 13.12 0.44  189.8   5.1  5206.1   7.0 15.66 0.22  363.5  14.6  5264.9   7.3
07251-0248 400.0 12.39	 F07251-0248 0 26247.0   30.42  0.00   0.00   0   0 -0.301  4.32  0.00 0.00    0.0   0.0     0.0   0.0  0.00 0.00    0.0   0.0     0.0   0.0
F07256+3355 62.1 11.28	 F07256+3355 1  4134.0   45.87 14.14  51.33 250 381  0.099  1.39 14.10 0.14  408.6   9.5  3978.7   4.8 14.12 0.15  523.2   9.5  4015.4   4.8
F07329+1149 72.8 11.13	 F07329+1149 1  4872.0   22.92 12.04  50.80 213 316  0.082  2.13 12.02 0.19  307.0   8.6  4977.4   4.3 12.02 0.20  375.2   8.6  4986.4   4.3
F08339+6517 86.3 11.11	 F08339+6517 1  5729.0   22.94  5.59  30.85 237 326  0.221  1.93  5.52 0.14  215.0  21.1  5775.1  10.5  5.47 0.17  328.4  21.1  5793.8  10.5
F08354+2555 84.1 11.60	 F08354+2555 5  5546.0   22.93  1.11  15.70 279 310  0.116  1.90  1.10 0.10  112.8   8.2  5542.3   4.1  1.11 0.10  132.1   8.2  5544.4   4.1
08424-3130 74.4 11.08	 F08424-3130 2  4845.0   22.93  2.91  19.85 245 321 -0.002  2.49  2.93 0.17  179.0   8.0  4887.5  12.5  2.89 0.20  280.3  34.6  4897.1  17.3
F08572+3915 264.0 12.16	 F08572+3915 0 17493.0   84.43  0.00   0.00   0   0 -0.002  1.08  0.00 0.00    0.0   0.0     0.0   0.0  0.00 0.00    0.0   0.0     0.0   0.0
F09111-1007 246.0 12.06	 F09111-1007 1 16231.0   45.86  2.22   8.67 196 339  0.027  1.46  2.24 0.13  267.1 180.4 16262.1  90.2  2.23 0.18  653.5 193.3 16347.3  96.7
F09126+4432 178.0 11.74	 F09126+4432 1 11782.0   45.71  1.91   9.96 216 296  0.039  1.53  1.90 0.14  285.8  32.0 11932.1  16.0  1.93 0.14  345.8  32.0 11954.0  16.0
F09320+6134 177.0 12.01	 F09320+6134 4 11800.0   91.76 -1.31   1.77 216 321  0.235  1.06  1.30 0.10  334.4  27.6 11944.4  13.8  1.30 0.10  395.3  27.0 11940.5  13.5
F09333+4841 117.0 11.34	 F09333+4841 1  7777.0   42.05  6.41  25.47 248 374  0.050  1.75  6.40 0.20  488.1  49.9  7685.6  25.0  6.39 0.20  547.3   9.8  7705.2   4.9
F09437+0317 92.9 11.23	 F09437+0317 1  6134.0   22.93 12.90  36.36 259 383  0.070  1.97 12.88 0.22  468.2   9.3  5987.1   4.7 12.86 0.21  524.9   9.4  5993.6   4.7
F10015-0614 79.5 11.37	 F10015-0614 1  5052.0   22.93 12.77  44.61 228 356  0.128  1.98 12.75 0.21  412.1   7.6  5088.3   3.8 12.75 0.20  462.1   7.6  5080.1   3.8
F10038-3338 156.0 11.78	 F10038-3338 2 10223.0   68.80  4.03  21.18 225 330 -0.028  1.45  3.73 0.14  189.3   5.2 10259.9  17.0  4.00 0.12  321.2  25.5 10282.9  12.7
F10173+0828 224.0 11.86	 F10173+0828 0 14714.0   45.86  0.00   0.00   0   0 -0.088  1.24  0.00 0.00    0.0   0.0     0.0   0.0  0.00 0.00    0.0   0.0     0.0   0.0
F10196+2149 65.7 11.09	 F10196+2149 1  4107.0   22.93 29.85  86.61 216 362  0.166  2.13 29.69 0.25  521.6   6.0  4114.6   3.0 29.68 0.25  596.1   6.5  4096.3   3.2
F10565+2448 197.0 12.08	 F10565+2448 4 12921.0   45.86 -0.72   3.59 269 336  0.004  1.41  0.64 0.09  141.0  49.4 12891.9  24.7  0.64 0.10  202.7  49.4 12918.9  24.7
F11011+4107 158.0 11.62	 F11011+4107 1 10349.0   45.88  0.79   7.53 184 244  0.070  1.41  0.79 0.08  113.0  62.2 10733.0  31.1  0.78 0.10  216.7  61.1 10711.9  30.6
F11186-0242 117.0 11.43	 F11186-0242 1  7462.0   45.86  3.63  20.61 252 344  0.053  1.50  3.63 0.11  185.3  27.6  7416.2  13.8  3.63 0.13  333.7  27.6  7424.2  13.8
F11231+1456 157.0 11.64	 F11231+1456 1 10241.0   45.86  2.32   9.17 245 344 -0.003  1.22  2.30 0.12  389.5  23.3 10244.9  11.7  2.30 0.12  439.1  22.2 10236.3  11.1
F11257+5850 50.7 11.93	 F11257+5850 5  3121.0   21.50  1.90  47.46 220 361  0.948  2.37  8.73 0.27  485.0  12.1  3124.3   6.1  8.67 0.26  560.5  12.1  3121.2   6.1 
F12043-3140 112.0 11.43	 F12043-3140 1  6955.0   91.25  1.73   9.18 249 346  0.190  1.34  1.72 0.11  278.0  48.9  6932.7  24.4  1.74 0.12  364.4  46.9  6927.8  23.4
F12112+0305 340.0 12.36	 F12112+0305 4 21978.0   81.21 -0.67   1.82 306 365  0.022  1.11  0.67 0.09  211.5 118.0 21802.2  59.0  0.65 0.11  390.8 127.9 21778.1  63.9
F12116+5448 43.0 11.10	 F12116+5448 2  2500.0   22.94  5.74  58.58 266 327  0.096  2.15  5.37 0.19   99.0   2.6  2507.2   2.1  5.70 0.13  160.3   6.2  2500.6   3.1
F12224-0624 125.0 11.36	 F12224-0624 0  7900.0   85.99  0.00   0.00   0   0 -0.082  1.24  0.00 0.00    0.0   0.0     0.0   0.0  0.00 0.00    0.0   0.0     0.0   0.0
F12243-0036 36.5 11.19	 F12243-0036 2  2176.0   22.93  3.20  36.57 269 316  0.041  2.17  3.22 0.15   86.7   3.0  2192.8   2.1  3.20 0.12  129.7   6.1  2184.1   3.0
F12540+5708 192.0 12.57	 F12540+5708 3 12642.0   90.47 -3.03   1.09 249 332  0.357  0.99  3.00 0.10  178.8   4.5 12641.0  17.0  3.02 0.08  263.3   9.9 12647.9   4.9
F12590+2934 111.0 11.38	 F12590+2934 0  7069.0   89.36  0.00   0.00   0   0  0.058  1.27  0.00 0.00    0.0   0.0     0.0   0.0  0.00 0.00    0.0   0.0     0.0   0.0
F12592+0436 175.0 11.68	 F12592+0436 1 11236.0   45.85  3.71  19.18 249 342  0.073  1.37  3.69 0.10  206.7  27.9 11240.0  13.9  3.72 0.12  351.7  27.9 11216.5  13.9
F12596-1529 78.7 11.17	 F12596-1529 1  4773.0   22.93 12.97  44.47 232 342  0.166  2.01 12.96 0.18  322.4  17.5  4859.2   8.7 12.96 0.20  456.8  17.5  4819.2   8.7
F13001-2339 106.0 11.56	 F13001-2339 4  6505.0   45.85 -2.09   1.20 240 325 -0.009  1.66  2.07 0.12  186.7  56.3  6503.8  28.2  2.06 0.14  334.0  56.3  6528.8  28.2
F13097-1531 44.8 10.84	 F13097-1531 1  2974.0   21.49  2.82  33.10 258 332 -0.052  2.59  2.43 0.10   59.9  19.0  2976.5   9.5  2.61 0.14  133.8  19.0  2946.8   9.5
F13126+2453 56.8 11.14	 F13126+2453 3  3346.0   38.22 -1.16   2.47 124 206 -0.017  1.59  1.14 0.12  151.5  11.8  3898.2  23.6  1.10 0.11  226.8  39.3  3899.7  19.7
F13136+6223 142.0 11.81	 F13136+6223 1  9312.0   40.78  2.33  13.32 227 314  0.103  1.45  2.31 0.14  365.6  73.5  9403.9  36.8  2.32 0.16  508.1  73.5  9362.7  36.8
F13182+3424 110.0 11.73	 F13182+3424 4  6982.0   89.36 -1.36   2.44 234 336  0.210  0.99  1.12 0.08  244.4   7.8  6918.1   3.9  1.38 0.08  267.3   7.9  6921.0   4.0
F13188+0036 90.8 11.27	 F13188+0036 1  5576.0   22.93  5.51  20.58 244 350  0.085  2.10  5.45 0.22  422.3  15.2  5566.6   7.6  5.45 0.22  473.6  15.2  5562.3   7.6
F13197-1627 82.2 11.28	 F13197-1627 2  4959.0   45.85  0.80   6.07 238 326  0.210  1.70  0.79 0.12  202.1  24.2  5009.7  38.5  0.79 0.16  372.5 175.0  5021.9  87.5
F13229-2934 60.9 11.30	 F13229-2934 1  4104.0   22.93  7.71  66.49 265 324  0.280  2.61  7.71 0.15  127.2   4.7  4108.1   2.3  7.71 0.16  169.8   4.7  4097.1   2.3
F13301-2356 82.4 11.15	 F13301-2356 1  4887.0   22.93  4.72  22.36 247 338  0.006  2.41  4.68 0.19  249.4  61.1  4842.0  30.6  4.68 0.24  427.8  43.6  4887.7  21.8
F13362+4831 129.0 11.56	 F13362+4831 0  8352.0   44.76  0.00   0.00   0   0  0.099  1.47  0.00 0.00    0.0   0.0     0.0   0.0  0.00 0.00    0.0   0.0     0.0   0.0
F13373+0105 108.5 11.62	 F13373+0105 1  6745.0   22.93 12.50  35.05 222 345  0.065  2.03 12.45 0.23  473.6   8.9  6793.6   4.5 12.45 0.22  524.5   9.0  6797.7   4.5
F13428+5608 173.0 12.21	 F13428+5608 4 11326.0   89.04 -5.23   1.61 226 377  0.130  1.02  5.23 0.13  561.4  19.8 11321.3   9.9  5.22 0.12  629.0  19.8 11295.8   9.9
F13470+3530 81.4 11.15	 F13470+3530 1  5031.0   22.93 12.92  49.68 236 353  0.025  1.94 12.87 0.21  434.1   7.5  5035.8   3.7 12.88 0.20  479.5   7.5  5026.9   3.7
